"text","twitterUrl","tweet_id","cleaned_text","sentiment"
"An essential companion piece to La Ida Y Vuelta #poem #laidayvuelta #tuesdayvibe #super8 #film # #cinema #koreatown #LA ","https://twitter.com/LossDoggo/status/1737185232405868880",1," essential companion piece la ida y vuelta poem laidayvuelta tuesdayvibe super film cinema koreatown la ",3
"Got to give a shout out to my brother! Proud of and I know Mom and Dad are smiling from heaven! #BrownBoys Athletics is in our blood! @Coachbrown16","https://twitter.com/NyereBrown_AD/status/1703121972912128446",2,"got give shout brother proud know mom dad smiling heaven brownboys athletics blood coachbrown",6
"We have 20 days left to crowdfund “La Ida Y Vuelta”! Help us get this made! Anything helps and shares are much appreciated!!! #seedandspark #LIYV #koreatown #LA #shortfilm #film #crowdfund # #retrospectivecinema #cinema ","https://twitter.com/LossDoggo/status/1681064843380662272",3," days left crowdfund “la ida y vuelta” help us get made anything helps shares much appreciated seedandspark liyv koreatown la shortfilm film crowdfund retrospectivecinema cinema ",7
"@HallTechSports1 this is great. I’ve known the Brown family since I was a young boy & makes me proud, so I knowwwww definitely makes them proud. Y’all keep on working, #BrownBoys. The door of opportunity is going to continue to open wide for b","https://twitter.com/AndyKirkland__/status/1673142320688947201",4,"halltechsports great ’ve known brown family since young boy makes proud knowwwww definitely makes proud y’ keep working brownboys door opportunity going continue open wide b",9
"28 days #clean and #sober . Loving #recovery. #RecoveryPosse . Anyone who wants to take my sobriety from me can pry from my cold dead hands. Ain't no stopping me now! #motivated #winning #SanFrancisco # ","https://twitter.com/myster_rivas/status/1653864122998718465",5," days clean sober loving recovery recoveryposse anyone wants take sobriety can pry cold dead hands aint stopping now motivated winning sanfrancisco ",6
"Brown’s at Browns #MyBoys #BrownBoys (@ Brown's Barber Shop in Athens, GA) ","https://twitter.com/Lightbrightz23/status/1639709304771993601",6,"brown’s browns myboys brownboys browns barber shop athens ga ",NA
"💙💙First of many hangouts with our sons!!! #OurVillage #wnbababies #boysclub #blackboys # #boyparents #halloweenfun #halloweencookies @ Beaverton, Oregon ","https://twitter.com/missarob43/status/1586589263063384064",7,"💙💙first many hangouts sons ourvillage wnbababies boysclub blackboys boyparents halloweenfun halloweencookies beaverton oregon ",NA
"𝕮𝖍𝖆𝖘𝖎𝖓 𝕸'𝖘 @mrkulture @_instablam @djrobmistadmv @jimjonescapo #BrownBoys #TargetSquad #VampireLife #Kulture @ Harlem, NYC ","https://twitter.com/bygbyrdpro/status/1548511693126467584",8,"𝕮𝖍𝖆𝖘𝖎𝖓 𝕸𝖘 mrkulture instablam djrobmistadmv jimjonescapo brownboys targetsquad vampirelife kulture harlem nyc ",NA
"Boy # bought his first #car #electric he is not white or rich #latinos # @NALEO #FinancialFreedom @ENERGY and #Transportation ","https://twitter.com/MarthaH2o/status/1540005606425247746",9,"boy bought first car electric white rich latinos naleo financialfreedom energy transportation ",2
"Never played hockey 🏒 but I know being a hawk 🦅 is key 🗝️ #BrownBoys 📸 @jyothitatter @ Ninety Four ","https://twitter.com/bygbyrdpro/status/1496672542827950080",10,"never played hockey 🏒 know hawk 🦅 key 🗝️ brownboys 📸 jyothitatter ninety four ",NA
"WHO READY FOR SOME NEW @bigboideep ❓ #BrownBoys @ Wanna play? ","https://twitter.com/bygbyrdpro/status/1490579983793807361",11," ready new bigboideep ❓ brownboys wanna play ",NA
"#Brownboys in the building!! Congrats!!","https://twitter.com/Habibi__01/status/1465482258836594695",12,"brownboys building congrats",2
"#BrownBoys in Edmonton (Union Hall) Tomorrow Night (Nov 27th) See Y'all There 💫 @tarna_416 @hny.sra @yegaaleyaar @jazzytoor_ @jazz_shah47 @ Edmonton, Alberta ","https://twitter.com/bygbyrdpro/status/1464353054971641858",13,"brownboys edmonton union hall tomorrow night nov th see yall 💫 tarna hnysra yegaaleyaar jazzytoor jazzshah edmonton alberta ",NA
"Almost time ⏳ #AllWinners #BrownBoys 📸 @george.howard @greendiamondproductions @ Bandz That Make Her Dance ","https://twitter.com/bygbyrdpro/status/1450255031073185792",14,"almost time ⏳ allwinners brownboys 📸 georgehoward greendiamondproductions bandz make dance ",NA
"Soccer Saturday 🥅⚽️ #","https://twitter.com/Chica512/status/1449348987224461314",15,"soccer saturday 🥅⚽️ ",NA
"#DabdaNi //2021 #BrownBoys @ New Jersey ","https://twitter.com/bygbyrdpro/status/1435064552077635586",16,"dabdani brownboys new jersey ",NA
